,death
123282,0
24493,0
119543,0
22396,1
212620,0
131813,0
93685,1
31208,1
88206,0
32761,0
10134,1
160161,0
234002,1
221223,0
130563,1
31347,0
113271,0
84674,0
58784,0
117513,0
37525,1
186798,0
78629,0
108384,0
154363,1
38995,0
197706,0
231386,0
217138,0
44209,0
45020,1
72539,0
230630,0
174519,1
165213,0
192802,0
117403,0
43834,0
204071,0
164373,0
125890,1
88798,0
201030,1
142700,1
61357,0
55199,0
115105,0
41915,1
90252,1
231825,1
199091,1
42341,0
162717,0
138178,0
9393,0
162836,1
158682,0
162360,1
224915,1
10907,0
179350,0
38873,1
12130,1
108686,0
25305,0
194161,0
88271,0
36121,0
193320,1
113586,0
90779,0
87469,0
222800,0
139546,1
70187,0
28711,1
77650,1
149400,0
94658,0
46872,1
139679,1
113160,0
7878,0
28540,1
197388,0
230586,0
208501,1
73957,1
1051,0
7849,1
165612,0
92864,0
222649,0
103629,0
147069,1
180565,0
50324,1
154176,0
15740,0
68595,0
87786,1
69221,0
213115,0
38611,1
157421,0
185246,0
93619,0
19565,0
160706,0
72413,0
216697,0
210840,0
29563,1
191433,0
109743,0
74104,1
122617,0
71067,1
74523,0
222029,0
160989,0
203972,0
5620,0
5536,1
93815,0
121304,0
123705,0
87521,0
61275,0
43053,0
41199,1
143041,0
59391,0
176034,1
53008,0
44302,0
108865,0
186133,1
123811,1
198719,1
162707,1
201517,1
29056,0
172114,0
18402,1
40033,1
63385,0
2835,1
162832,0
176071,0
122467,1
18799,0
90702,0
116559,0
176106,1
91202,0
83014,0
129523,0
204573,0
44279,0
94134,0
177754,0
43967,1
94160,1
26882,1
235416,0
12897,0
103817,0
127373,1
46285,0
142444,0
205458,0
34242,1
222572,0
199667,1
164352,0
41865,0
138330,1
225191,0
144824,1
19068,0
114588,1
108918,0
84148,0
32462,0
4533,0
43166,0
174449,1
204318,0
205959,0
71302,0
86132,1
63889,0
97961,0
152265,0
1368,0
177212,1
209665,0
67052,1
224095,0
173580,0
150650,0
75861,1
144997,0
68766,0
71586,0
189886,1
176029,0
151871,0
197908,1
16763,0
122665,1
195669,0
185240,0
49523,0
57337,1
237789,0
229771,1
67718,0
209815,0
4317,1
184452,0
85698,0
56753,0
32245,1
205490,1
62976,1
222531,0
31639,0
175361,1
124588,0
238765,0
173566,1
227200,1
97016,0
14381,1
6941,0
189260,0
5200,0
40101,0
199813,0
130192,0
179735,1
222373,0
186390,1
237804,1
3553,0
35083,1
50655,1
127109,0
30636,1
43695,0
193341,0
119276,0
94055,1
73206,0
83992,0
64811,0
171907,0
52274,0
94109,0
98301,1
51447,0
46599,0
29572,0
94577,0
28751,0
19018,0
223736,0
131873,0
117138,0
153761,0
89300,1
80768,0
230873,1
72749,1
139716,0
188855,1
187577,0
177057,0
224202,0
228001,1
191032,0
201108,0
83667,0
187039,0
80878,0
49993,0
148825,1
42591,0
233872,0
184329,1
132650,1
193715,0
229550,1
47162,0
136815,0
32884,0
197998,0
158455,1
231523,0
88575,0
179982,1
218618,0
17326,0
53506,1
219612,1
224346,1
61296,0
154807,0
135697,1
11379,0
232866,0
58912,0
212388,0
234328,0
44547,1
87479,0
148197,1
93819,0
174647,0
196633,0
194663,1
101049,1
219644,1
170122,1
191373,0
75660,1
158881,0
37580,1
234408,1
230822,0
177077,1
28385,1
24954,1
231609,0
92843,0
85116,1
196003,1
215438,0
47849,1
235595,1
216522,0
30282,0
175200,0
28235,1
141422,0
66964,0
131422,0
151249,1
88002,1
177053,1
86975,0
119900,0
101586,1
19305,0
74951,1
168515,0
